pair_id,task,query_id,target_id,query_smiles,target_smiles,gold_relation,binary_label,gold_source,source_type,hard_negative_type,pred_relation,pred_exact,pred_parent,pred_stereo,pred_tautomer,pred_family
chembl_exact_self_000000,chembl36_registry,1,1,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1Cl,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1Cl,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000001,chembl36_registry,2,2,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(C#N)cc1,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(C#N)cc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000002,chembl36_registry,3,3,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(O)c1ccc(Cl)cc1,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(O)c1ccc(Cl)cc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000003,chembl36_registry,4,4,Cc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,Cc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000004,chembl36_registry,5,5,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000005,chembl36_registry,6,6,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000006,chembl36_registry,7,7,Cc1cc(Br)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,Cc1cc(Br)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000007,chembl36_registry,8,8,O=C(c1ccc(Cl)cc1Cl)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,O=C(c1ccc(Cl)cc1Cl)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000008,chembl36_registry,9,9,CS(=O)(=O)c1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,CS(=O)(=O)c1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
chembl_exact_self_000009,chembl36_registry,10,10,c1cc2cc(c1)-c1cccc(c1)C[n+]1ccc(c3ccccc31)NCCCCCCCCCCNc1cc[n+](c3ccccc13)C2,c1cc2cc(c1)-c1cccc(c1)C[n+]1ccc(c3ccccc31)NCCCCCCCCCCNc1cc[n+](c3ccccc13)C2,exact,1,ChEMBL36 standard_inchi_key self-identity,external_registry_identity_sanity_check,positive_exact_identity,exact,True,True,True,True,True
