pair_id,query_smiles,target_smiles,pred_relation,query_tautomer_key,target_tautomer_key,query_formula,target_formula,miss_category
tautobase_000000,O=C1NCC=C1,O=C1NC=CC1,none,O=C1C=CCN1,Oc1ccc[nH]1,C4H5NO,C4H5NO,scaffold_or_connectivity_shift
tautobase_000001,CN(CC=C1)C1=O,CN(C=CC1)C1=O,none,CN1CC=CC1=O,Cn1cccc1O,C5H7NO,C5H7NO,scaffold_or_connectivity_shift
tautobase_000002,O=C(C1C2=CC=CC=C2)OC(C2=CC=CC=C2)=C1C1=CC=CC=C1,O=C(C(C1=CC=CC=C1)=C1C2=CC=CC=C2)OC1C1=CC=CC=C1,none,Oc1oc(-c2ccccc2)c(-c2ccccc2)c1-c1ccccc1,O=C1OC(c2ccccc2)C(c2ccccc2)=C1c1ccccc1,C22H16O2,C22H16O2,scaffold_or_connectivity_shift
tautobase_000003,O=C1OC=CC1,O=C1OCC=C1,none,Oc1ccco1,O=C1C=CCO1,C4H4O2,C4H4O2,scaffold_or_connectivity_shift
tautobase_000004,O=C1OC(C2=CC=CC=C2)=CC1,O=C(C=C1)OC1C1=CC=CC=C1,none,Oc1ccc(-c2ccccc2)o1,O=C1C=CC(c2ccccc2)O1,C10H8O2,C10H8O2,scaffold_or_connectivity_shift
tautobase_000005,CC(C=C1)SC1=O,CC(S1)=CCC1=O,none,CC1C=CC(=O)S1,Cc1ccc(O)s1,C5H6OS,C5H6OS,scaffold_or_connectivity_shift
tautobase_000006,CSC(C=C1)SC1=O,CSC(S1)=CCC1=O,none,CSC1C=CC(=O)S1,CSc1ccc(O)s1,C5H6OS2,C5H6OS2,scaffold_or_connectivity_shift
tautobase_000007,O=C1OCC=C1,O=C1OC=CC1,none,O=C1C=CCO1,Oc1ccco1,C4H4O2,C4H4O2,scaffold_or_connectivity_shift
tautobase_000008,O=C1SCC=C1,O=C1SC=CC1,none,O=C1C=CCS1,Oc1cccs1,C4H4OS,C4H4OS,scaffold_or_connectivity_shift
tautobase_000009,C1=CC(C=CC=C2)=C2SC1C1=CC=CC=C1,C1C(C=CC=C2)=C2SC(C2=CC=CC=C2)=C1,none,C1=CC(c2ccccc2)Sc2ccccc21,C1=C(c2ccccc2)Sc2ccccc2C1,C15H12S,C15H12S,scaffold_or_connectivity_shift
