pair_id,task,query_id,target_id,query_smiles,target_smiles,gold_relation,binary_label,gold_source,source_type,hard_negative_type
controlled_parent_000000,bace,bace_000049,parent_1x:0,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]Cc2cccc(OC)c2)cc2c1CCCS(=O)(=O)N2C,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(OC)c2)cc2c1CCCS(=O)(=O)N2C,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000001,bace,bace_000066,parent_1x:1,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]Cc2cccc(C(F)(F)F)c2)cc(N2CCCC2=O)c1,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(N2CCCC2=O)c1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000002,bace,bace_000072,parent_1x:2,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCCCC1,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCCCC1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000003,bace,bace_000133,parent_1x:3,NC(=[NH2+])NC(=O)Cn1c(-c2ccccc2)ccc1-c1ccc(NC(=O)c2cccc(Br)c2)cc1,N=C(N)NC(=O)Cn1c(-c2ccccc2)ccc1-c1ccc(NC(=O)c2cccc(Br)c2)cc1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000004,bace,bace_000188,parent_1x:4,O=C(OC1CCOCC1)[C@H]1C[C@]2(C[NH2+]1)C(=O)Nc1ccccc12,O=C(OC1CCOCC1)[C@H]1C[C@]2(CN1)C(=O)Nc1ccccc12,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000005,bace,bace_000271,parent_1x:5,CCc1ccc2c(c1)C([NH2+]CC(O)C1Cc3cccc(c3)CCCCn3cc(cc(N4CCCC4)c3=O)C(=O)N1)CC1(CCC1)O2,CCc1ccc2c(c1)C(NCC(O)C1Cc3cccc(c3)CCCCn3cc(cc(N4CCCC4)c3=O)C(=O)N1)CC1(CCC1)O2,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000006,bace,bace_000277,parent_1x:6,CC(C)(C)Cc1cnc2c(c1)C([NH2+]CC(O)C1Cc3cccc(c3)CCCn3cc(ccc3=O)C(=O)N1)CC1(CCC1)O2,CC(C)(C)Cc1cnc2c(c1)C(NCC(O)C1Cc3cccc(c3)CCCn3cc(ccc3=O)C(=O)N1)CC1(CCC1)O2,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000007,bace,bace_000401,parent_1x:7,CCCN(CCC)C(=O)c1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)cc(S(=O)(=O)c2ccc(OC)cc2)c1,CCCN(CCC)C(=O)c1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)CNCc2cccc(OC)c2)cc(S(=O)(=O)c2ccc(OC)cc2)c1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000008,bace,bace_000446,parent_1x:8,CC(C)c1cccc(C[NH2+]CC(O)C2COCCCCCCNC(=O)c3cc(cc(N(C)S(C)(=O)=O)c3)C(=O)N2)c1,CC(C)c1cccc(CNCC(O)C2COCCCCCCNC(=O)c3cc(cc(N(C)S(C)(=O)=O)c3)C(=O)N2)c1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000009,bace,bace_000450,parent_1x:9,CCn1cnc2c(N3CCCC3=O)cc(C(=O)NC(Cc3ccccc3)C(O)C[NH2+]Cc3cccc(C(F)(F)F)c3)cc21,CCn1cnc2c(N3CCCC3=O)cc(C(=O)NC(Cc3ccccc3)C(O)CNCc3cccc(C(F)(F)F)c3)cc21,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000010,bace,bace_000453,parent_1x:10,CC(C)c1cccc(C[NH2+]CC(O)C2Cc3cccc(c3)OCCCCNc3cc(cc(N4C=COC4)c3)C(=O)N2)c1,CC(C)c1cccc(CNCC(O)C2Cc3cccc(c3)OCCCCNc3cc(cc(N4C=COC4)c3)C(=O)N2)c1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000011,bace,bace_000461,parent_1x:11,CCc1cn2c3c(cc(C(=O)NC(Cc4ccccc4)C(O)C[NH2+]C4CC4)cc13)N(C)S(=O)(=O)CC2,CCc1cn2c3c(cc(C(=O)NC(Cc4ccccc4)C(O)CNC4CC4)cc13)N(C)S(=O)(=O)CC2,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000012,bace,bace_000511,parent_1x:12,CSC1CCC([NH2+]CC(O)C(Cc2cc(F)cc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CC1,CSC1CCC(NCC(O)C(Cc2cc(F)cc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CC1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
controlled_parent_000013,bace,bace_000599,parent_1x:13,CC(C)(C)Cn1cc(C[NH2+]C2CS(=O)(=O)CC(Cc3cc(F)c(N)c(OC(C(F)(F)F)C(F)(F)F)c3)C2O)cn1,CC(C)(C)Cn1cc(CNC2CS(=O)(=O)CC(Cc3cc(F)c(N)c(OC(C(F)(F)F)C(F)(F)F)c3)C2O)cn1,parent,1,artifacts/phase0_tf_confirm_top_len158_extra/manifests/parent_1x.jsonl,self_rerun_controlled_injection,positive_controlled_relation
