artifact,tasks,n_tasks,corpus_size,n_affected,relations,doses,affected_filter,effect_level,retrieval_level,best_effect_task,best_effect_relation,best_effect_dose,best_effect_ci,clean_sha256_12
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,1,50000,82,"exact,random,stereo,decoy",20,stereo,no_stable_positive_inflation_detected,semantic_lattice_recovers_changed_variants,bbbp,stereo,20,"0.0028 [-0.0653, 0.0654]",57eab2139d80
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,1,50000,82,"exact,random,stereo,decoy",20,stereo,no_stable_positive_inflation_detected,semantic_lattice_recovers_changed_variants,bbbp,exact,20,"0.0182 [-0.0048, 0.0660]",57eab2139d80
phase0_tf_aff128_probe,"bbbp,hiv,tox21_ahr,tox21_are,tox21_mmp",5,50000,640,"exact,random,parent,decoy","1,20",,directional_positive_not_ci_confirmed,not_evaluated,tox21_mmp,parent,1,"0.0230 [-0.0124, 0.0570]",d66462cf2983
phase0_tf_bbbp_stereo_changed_aff82_d20,bbbp,1,50000,82,"exact,random,stereo,decoy",20,stereo,directional_positive_not_ci_confirmed,semantic_lattice_recovers_changed_variants,bbbp,exact,20,"0.0500 [-0.0338, 0.1326]",57eab2139d80
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain02,bbbp,1,50000,82,"exact,random,stereo,decoy",20,stereo,no_stable_positive_inflation_detected,semantic_lattice_recovers_changed_variants,bbbp,exact,20,"-0.0039 [-0.0331, 0.0238]",57eab2139d80
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,1,50000,82,"exact,random,stereo,decoy",20,stereo,no_stable_positive_inflation_detected,semantic_lattice_recovers_changed_variants,bbbp,stereo,20,"0.0061 [-0.0270, 0.0386]",57eab2139d80
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,1,50000,82,"exact,random,stereo,decoy",20,stereo,no_stable_positive_inflation_detected,semantic_lattice_recovers_changed_variants,bbbp,stereo,20,"0.0035 [-0.0462, 0.0514]",57eab2139d80
phase0_tf_confirm_top_len158_extra,"bace,bbbp,hiv,clintox_tox,clintox_fda,tox21_ahr,tox21_are,tox21_mmp,sider_gastro",9,50000,576,"exact,random,parent,stereo,tautomer,decoy","1,5,20",,directional_positive_not_ci_confirmed,semantic_lattice_recovers_changed_variants,bace,random,1,"0.0514 [-0.0349, 0.1683]",d1eb13fb03f8
phase0_tf_mmp_aff128_isolated,tox21_mmp,1,50000,128,"exact,parent,decoy",1,,no_stable_positive_inflation_detected,not_evaluated,tox21_mmp,parent,1,"0.0042 [-0.0317, 0.0378]",242e6f7f85f7
phase0_tf_mmp_stereo_changed_aff128_d20,tox21_mmp,1,50000,128,"exact,stereo,decoy",20,stereo,no_stable_positive_inflation_detected,semantic_lattice_recovers_changed_variants,tox21_mmp,exact,20,"0.0031 [-0.0261, 0.0305]",242e6f7f85f7
